question_id,answer
text1,False
text2,False
text3,False
text4,False
text5,True
text6,True
text7,True
text8,True
text9,True
text10,False
text11,False
text12,False
text13,True
text14,False
text15,True
text16,True
text17,False
text18,False
text19,True
text20,False
text21,True
text22,False
text23,True
text24,True
text25,False
text26,True
text27,False
text28,True
text29,False
text30,False
text31,True
text32,True
text33,False
text34,True
text35,True
text36,False
text37,False
text38,True
text39,True
text40,False
text41,False
text42,True
text43,False
text44,True
text45,False
text46,True
text47,False
text48,True
text49,False
text50,False
text51,True
text52,True
text53,True
text54,False
text55,False
text56,True
text57,False
text58,False
text59,True
text60,False
text61,False
text62,True
text63,True
text64,False
text65,True
text66,False
text67,False
text68,False
text69,False
text70,True
text71,True
text72,False
text73,True
text74,False
text75,True
text76,False
text77,True
text78,False
text79,True
text80,True
text81,False
text82,True
text83,True
text84,False
text85,False
